"Code_point_Libelle";"ID.interne.passage";"Date";"CHLOROA";"SALI";"TEMP";"TURB";"NH4";"PO4";"SIOH";"OXYGENE";"NO3+NO2";"TURB-FNU";"Shannon";"Simpson";"BergerParker";"Pielou";"Rspe";"Bacillariophyceae";"Dinophyceae";"Cryptophyceae";"Haptophyta";"Ciliophora";"DinoBac";"N_noeuds";"N_liens";"D_liens";"C_tance";"Avg_p_length";"Adhes";"Mod";"meanN_liens";"Assort";"Diss";"Trans";"meanN_voisins";"Nat_connect";"N_clust";"cluster"
"22B - Toulon gde rade";60152371;2011-01-04;0,59;36,8;13,8;NA;NA;NA;NA;NA;NA;0,119;1,36640338318407;0,670339761248852;0,454545454545455;0,702192433626713;7;1200;300;1500;NA;NA;0,25;7;11;1,57142857142857;0,523809523809524;0,142648121194168;1;0,132231404958678;3,14285714285714;-0,294117647058825;0,866445524146432;0,535714285714286;3,45454545454545;0,206849340745987;2;1
"22B - Toulon gde rade";60152410;2011-01-18;0,3;31,5;13,6;NA;NA;NA;NA;NA;NA;0,249;0,956052051473985;0,366678533285867;0,792452830188679;0,415208130367435;10;4700;400;NA;NA;NA;0,0851063829787234;10;27;2,7;0,6;0,0927022181312788;1;0,0473251028806585;5,4;-0,37354651162791;0,911053438233648;0,661764705882353;2,66666666666667;0,13411735346938;3;1
"22B - Toulon gde rade";60183761;2011-02-01;0,25;35,5;13;NA;NA;NA;NA;NA;NA;0,144;2,05847963269302;0,852144939608496;0,224489795918367;0,893986345588809;10;3400;300;600;NA;NA;0,0882352941176471;10;25;2,5;0,555555555555556;0,166234465617715;3;0,1272;5;-0,109391124871005;0,838820261426157;0,577981651376147;3,08;0,143418165311186;2;1
"22B - Toulon gde rade";60184581;2011-02-15;0,18;35,1;12,9;NA;NA;NA;NA;NA;NA;1,01;0,86415020319497;0,498866213151927;0,666666666666667;0,786583412645614;3;400;NA;300;NA;NA;NA;3;3;1;1;0,129024806586192;2;-0,222222222222222;2;NA;0,830747264720163;1;1,33333333333333;0,547139343225394;2;1
"22B - Toulon gde rade";60187163;2011-03-01;0,12;35,3;12,9;NA;NA;NA;NA;NA;NA;0,203;0,44624376141549;0,192627824019025;0,896551724137931;0,321896830810883;4;300;NA;NA;NA;NA;NA;4;2;0,5;0,333333333333333;0,101698560258298;0;0;1;-1;0,923726079806277;0;2;0,383764728878997;2;1
"22B - Toulon gde rade";60187322;2011-03-15;0,75;37,8;12,7;NA;NA;NA;NA;NA;NA;1,3;1,43805238252293;0,543287070854638;0,664864864864865;0,507569394849778;17;5100;400;12300;NA;NA;0,0784313725490196;16;64;4;0,533333333333333;0,105533066063981;1;0,2020263671875;8;-0,154980412870285;0,874987449511577;0,692759295499021;3,359375;0,0858547376025779;2;1
"22B - Toulon gde rade";60189392;2011-04-12;0,4;37,6;15,9;NA;NA;NA;NA;NA;NA;0,352;1,70845720094696;0,727173119065011;0,459459459459459;0,687533755480398;12;6600;300;NA;NA;NA;0,0454545454545455;12;29;2,41666666666667;0,439393939393939;0,21879370412807;1;0,221165279429251;4,83333333333333;0,0972762645914414;0,803382694640761;0,627906976744186;5,3448275862069;0,126893692589442;2;1
"22B - Toulon gde rade";60222406;2011-04-26;0,71;35,7;16,3;NA;NA;NA;NA;NA;NA;0,512;0,904812551363633;0,417318723546447;0,746268656716418;0,364123357084994;12;44700;800;8100;NA;NA;0,0178970917225951;12;41;3,41666666666667;0,621212121212121;0,149194190680966;1;0,0365853658536586;6,83333333333333;-0,092102794972799;0,81075450953484;0,787769784172662;3,04878048780488;0,135729381243473;2;1
"22B - Toulon gde rade";60222445;2011-05-10;0,18;37,6;17,4;NA;NA;NA;NA;NA;NA;0,617;1,05713627397739;0,427951388888889;0,75;0,481123452232178;9;600;400;3600;NA;NA;0,666666666666667;9;21;2,33333333333333;0,583333333333333;0,0963604836657826;2;0,0770975056689344;4,66666666666667;-0,212676056338026;0,909053379596295;0,627906976744186;2,61904761904762;0,151315769213865;2;1
"22B - Toulon gde rade";60223791;2011-05-24;0,2;NA;20,5;NA;NA;NA;NA;NA;NA;0,27;0,969241073752857;0,43205707491082;0,737931034482759;0,441120622693883;9;500;3200;10700;NA;NA;6,4;9;26;2,88888888888889;0,722222222222222;0,122909958977922;4;0,0118343195266272;5,77777777777778;-0,254385964912279;0,871653512572259;0,75;2,15384615384615;0,157445495699159;2;1
