"Code_point_Libelle";"Date";"N_noeuds";"N_liens";"D_liens";"C_tance";"Avg_p_length";"Adhes";"Mod";"meanN_liens";"Assort";"Diss";"Trans";"meanN_voisins";"Nat_connect";"N_clust";"cluster"
"Anse de Carteau 2";2011-08-29;21;132;6,28571428571429;0,628571428571429;0,126431921351699;4;0,0724001377410468;12,5714285714286;0,291924116624832;0,822735354607492;0,8307962529274;3,13636363636364;0,092262134595794;3;1
"Anse de Carteau 2";2011-09-12;22;171;7,77272727272727;0,74025974025974;0,118942862449111;2;0,0154748469614582;15,5454545454545;-0,00306044376435337;0,81128327638338;0,851063829787234;2,66666666666667;0,104158804619811;3;1
"Anse de Carteau 2";2011-09-26;10;27;2,7;0,6;0,139506015554376;1;0,112482853223594;5,4;-0,271792095289657;0,823982927631955;0,755395683453237;3,14814814814815;0,150275815876798;2;1
"Anse de Carteau 2";2011-10-10;10;24;2,4;0,533333333333333;0,247127705629009;2;0,194444444444445;4,8;0,352517985611511;0,73083955031002;0,778846153846154;4,25;0,177518700829625;2;1
"Anse de Carteau 2";2011-10-24;12;34;2,83333333333333;0,515151515151515;0,125611439279232;3;0,160467128027682;5,66666666666667;0,18115183246073;0,858647824384798;0,702857142857143;3,79411764705882;0,115803301843775;3;1
"Anse de Carteau 2";2011-11-07;14;49;3,5;0,538461538461538;0,153228691793345;4;0,071012078300708;7;-0,192782874617737;0,810575459136265;0,672566371681416;3,3469387755102;0,117417387443821;3;1
"Anse de Carteau 2";2011-11-21;16;88;5,5;0,733333333333333;0,0943667365952958;4;0,0216942148760331;11;0,0533092387621465;0,819997810572985;0,838983050847458;2,40909090909091;0,118852795311364;2;1
"Anse de Carteau 2";2011-12-05;16;85;5,3125;0,708333333333333;0,112720922249671;3;0,0514878892733565;10,625;0,00273085870334251;0,793704578803207;0,806122448979592;2,64705882352941;0,129678864645692;2;1
"Anse de Carteau 2";2011-12-19;11;28;2,54545454545455;0,509090909090909;0,16931159182871;4;0,199617346938775;5,09090909090909;-0,103603603603602;0,847985298613087;0,575;3,42857142857143;0,126485894827836;3;1
"Anse de Carteau 2";2012-01-02;9;23;2,55555555555556;0,638888888888889;0,170080968709584;2;0,0255198487712665;5,11111111111111;-0,0912408759124061;0,821659835841482;0,721153846153846;2,52173913043478;0,168836382437541;3;1
"Anse de Carteau 2";2012-01-16;18;92;5,11111111111111;0,601307189542484;0,11565900962963;5;0,116020793950851;10,2222222222222;-0,0271322861222926;0,845400881107655;0,720524017467249;3,22826086956522;0,0854179736445677;3;1
"Anse de Carteau 2";2012-01-30;12;37;3,08333333333333;0,560606060606061;0,167284920188323;3;0,157779401022644;6,16666666666667;-0,0388974755280785;0,834191308235618;0,695652173913043;3,40540540540541;0,122032832554401;3;1
"Anse de Carteau 2";2012-02-21;20;134;6,7;0,705263157894737;0,124985437814481;6;0,0650478948540877;13,4;0,027638746507467;0,814279617987397;0,81787521079258;2,48507462686567;0,105903210783095;3;1
"Anse de Carteau 2";2012-02-27;18;108;6;0,705882352941177;0,118884299879068;4;0,0750600137174211;12;0,0995024132211641;0,804238481540632;0,819890368050118;2,57407407407407;0,116578089334722;2;1
"Anse de Carteau 2";2012-03-12;15;71;4,73333333333333;0,676190476190476;0,123302208431927;5;0,0574290815314422;9,46666666666667;0,0265275707898641;0,844925881668214;0,769828926905132;2,43661971830986;0,104021627932565;3;1
