"Date";"CHLOROA";"year";"CHLOROA_noseason";"Code_point_Libelle";"Outlier";"Changepoint";"Trend";"pvaltrend";"pvalchange";"psens";"slopesens"
2012-01-16;0,55;"2012";1,32747634624212;"les Hébihens";"NON";NA;-0,0159857402427833;0,570048626023925;0,0241234937335084;0,570048626023925;-9,34478769514204e-05
2012-01-26;0,664285714285714;"2012";1,38107398355288;"les Hébihens";"NON";NA;-0,0159857402427833;0,570048626023925;0,0241234937335084;0,570048626023925;-9,34478769514204e-05
2012-02-05;0,688571428571429;"2012";1,35904493113357;"les Hébihens";"NON";NA;-0,0159857402427833;0,570048626023925;0,0241234937335084;0,570048626023925;-9,34478769514204e-05
2012-02-15;0,798571428571429;"2012";1,46175504260322;"les Hébihens";"NON";NA;-0,0159857402427833;0,570048626023925;0,0241234937335084;0,570048626023925;-9,34478769514204e-05
2012-02-25;1,49142857142857;"2012";1,82349221360271;"les Hébihens";"NON";NA;-0,0159857402427833;0,570048626023925;0,0241234937335084;0,570048626023925;-9,34478769514204e-05
2012-03-06;2,67571428571429;"2012";2,77842671936115;"les Hébihens";"NON";NA;-0,0159857402427833;0,570048626023925;0,0241234937335084;0,570048626023925;-9,34478769514204e-05
2012-03-16;3;"2012";2,88791417285638;"les Hébihens";"NON";NA;-0,0159857402427833;0,570048626023925;0,0241234937335084;0,570048626023925;-9,34478769514204e-05
2012-03-26;1,85;"2012";1,10451610511871;"les Hébihens";"NON";NA;-0,0159857402427833;0,570048626023925;0,0241234937335084;0,570048626023925;-9,34478769514204e-05
2012-04-05;1,60714285714286;"2012";0,838379032865102;"les Hébihens";"NON";NA;-0,0159857402427833;0,570048626023925;0,0241234937335084;0,570048626023925;-9,34478769514204e-05
2012-04-15;1,36428571428571;"2012";0,42588630846331;"les Hébihens";"NON";NA;-0,0159857402427833;0,570048626023925;0,0241234937335084;0,570048626023925;-9,34478769514204e-05
2012-04-25;1,03142857142857;"2012";-0,279266685578591;"les Hébihens";"NON";NA;-0,0159857402427833;0,570048626023925;0,0241234937335084;0,570048626023925;-9,34478769514204e-05
2012-05-05;1,24666666666667;"2012";0,103455232262514;"les Hébihens";"NON";NA;-0,0159857402427833;0,570048626023925;0,0241234937335084;0,570048626023925;-9,34478769514204e-05
2012-05-15;2,02;"2012";1,10421087687193;"les Hébihens";"NON";NA;-0,0159857402427833;0,570048626023925;0,0241234937335084;0,570048626023925;-9,34478769514204e-05
2012-05-25;1,01285714285714;"2012";-0,465226588050078;"les Hébihens";"NON";NA;-0,0159857402427833;0,570048626023925;0,0241234937335084;0,570048626023925;-9,34478769514204e-05
